Rainfall - (MM), Year, Statistics, Country, ISO3
0.01006, 1991, Jan Average, Niger, NER
0.45112, 1991, Feb Average, Niger, NER
1.57147, 1991, Mar Average, Niger, NER
2.1405, 1991, Apr Average, Niger, NER
17.2284, 1991, May Average, Niger, NER
18.6558, 1991, Jun Average, Niger, NER
49.224, 1991, Jul Average, Niger, NER
73.5393, 1991, Aug Average, Niger, NER
8.55794, 1991, Sep Average, Niger, NER
3.19505, 1991, Oct Average, Niger, NER
0.02614, 1991, Nov Average, Niger, NER
0, 1991, Dec Average, Niger, NER
0.01006, 1992, Jan Average, Niger, NER
0.40594, 1992, Feb Average, Niger, NER
1.07528, 1992, Mar Average, Niger, NER
2.04527, 1992, Apr Average, Niger, NER
10.13, 1992, May Average, Niger, NER
15.7197, 1992, Jun Average, Niger, NER
50.73, 1992, Jul Average, Niger, NER
57.2066, 1992, Aug Average, Niger, NER
20.336, 1992, Sep Average, Niger, NER
2.53689, 1992, Oct Average, Niger, NER
0.14136, 1992, Nov Average, Niger, NER
0, 1992, Dec Average, Niger, NER
0.01006, 1993, Jan Average, Niger, NER
0.40594, 1993, Feb Average, Niger, NER
0.3531, 1993, Mar Average, Niger, NER
1.51453, 1993, Apr Average, Niger, NER
2.74304, 1993, May Average, Niger, NER
15.7432, 1993, Jun Average, Niger, NER
40.5874, 1993, Jul Average, Niger, NER
56.3801, 1993, Aug Average, Niger, NER
19.4901, 1993, Sep Average, Niger, NER
0.53345, 1993, Oct Average, Niger, NER
0.0002, 1993, Nov Average, Niger, NER
4.0E-5, 1993, Dec Average, Niger, NER
0.01006, 1994, Jan Average, Niger, NER
0.40594, 1994, Feb Average, Niger, NER
0.08698, 1994, Mar Average, Niger, NER
1.17001, 1994, Apr Average, Niger, NER
3.74569, 1994, May Average, Niger, NER
15.2073, 1994, Jun Average, Niger, NER
63.7774, 1994, Jul Average, Niger, NER
93.8097, 1994, Aug Average, Niger, NER
40.5952, 1994, Sep Average, Niger, NER
4.3745, 1994, Oct Average, Niger, NER
0.00239, 1994, Nov Average, Niger, NER
0, 1994, Dec Average, Niger, NER
0.01006, 1995, Jan Average, Niger, NER
0.40594, 1995, Feb Average, Niger, NER
0.15633, 1995, Mar Average, Niger, NER
3.46805, 1995, Apr Average, Niger, NER
1.87638, 1995, May Average, Niger, NER
15.7814, 1995, Jun Average, Niger, NER
38.2219, 1995, Jul Average, Niger, NER
62.7358, 1995, Aug Average, Niger, NER
21.1186, 1995, Sep Average, Niger, NER
0.57141, 1995, Oct Average, Niger, NER
0.04175, 1995, Nov Average, Niger, NER
0, 1995, Dec Average, Niger, NER
0.01006, 1996, Jan Average, Niger, NER
0.54165, 1996, Feb Average, Niger, NER
0.22154, 1996, Mar Average, Niger, NER
0.8034, 1996, Apr Average, Niger, NER
6.5362, 1996, May Average, Niger, NER
21.8042, 1996, Jun Average, Niger, NER
36.5003, 1996, Jul Average, Niger, NER
46.3676, 1996, Aug Average, Niger, NER
21.3197, 1996, Sep Average, Niger, NER
2.18325, 1996, Oct Average, Niger, NER
0, 1996, Nov Average, Niger, NER
0.00026, 1996, Dec Average, Niger, NER
0.01006, 1997, Jan Average, Niger, NER
0.40594, 1997, Feb Average, Niger, NER
0.57312, 1997, Mar Average, Niger, NER
1.12739, 1997, Apr Average, Niger, NER
7.21413, 1997, May Average, Niger, NER
19.6521, 1997, Jun Average, Niger, NER
44.2073, 1997, Jul Average, Niger, NER
56.2748, 1997, Aug Average, Niger, NER
20.011, 1997, Sep Average, Niger, NER
2.69868, 1997, Oct Average, Niger, NER
0.04636, 1997, Nov Average, Niger, NER
0, 1997, Dec Average, Niger, NER
0.01006, 1998, Jan Average, Niger, NER
0.41538, 1998, Feb Average, Niger, NER
0.07304, 1998, Mar Average, Niger, NER
1.96531, 1998, Apr Average, Niger, NER
6.8369, 1998, May Average, Niger, NER
21.9415, 1998, Jun Average, Niger, NER
46.9865, 1998, Jul Average, Niger, NER
68.993, 1998, Aug Average, Niger, NER
45.2086, 1998, Sep Average, Niger, NER
1.89421, 1998, Oct Average, Niger, NER
0.0107, 1998, Nov Average, Niger, NER
0.00034, 1998, Dec Average, Niger, NER
0.01006, 1999, Jan Average, Niger, NER
0.50274, 1999, Feb Average, Niger, NER
0.05301, 1999, Mar Average, Niger, NER
0.4687, 1999, Apr Average, Niger, NER
5.2535, 1999, May Average, Niger, NER
7.24794, 1999, Jun Average, Niger, NER
60.7661, 1999, Jul Average, Niger, NER
112.22, 1999, Aug Average, Niger, NER
36.0745, 1999, Sep Average, Niger, NER
2.75356, 1999, Oct Average, Niger, NER
0.04403, 1999, Nov Average, Niger, NER
0, 1999, Dec Average, Niger, NER
0.01006, 2000, Jan Average, Niger, NER
0.42616, 2000, Feb Average, Niger, NER
0.05134, 2000, Mar Average, Niger, NER
0.53888, 2000, Apr Average, Niger, NER
1.97035, 2000, May Average, Niger, NER
17.3621, 2000, Jun Average, Niger, NER
59.5202, 2000, Jul Average, Niger, NER
50.1699, 2000, Aug Average, Niger, NER
19.7604, 2000, Sep Average, Niger, NER
2.88264, 2000, Oct Average, Niger, NER
0.04799, 2000, Nov Average, Niger, NER
0, 2000, Dec Average, Niger, NER
0.01006, 2001, Jan Average, Niger, NER
0.41998, 2001, Feb Average, Niger, NER
0.05105, 2001, Mar Average, Niger, NER
0.75717, 2001, Apr Average, Niger, NER
4.63473, 2001, May Average, Niger, NER
17.9527, 2001, Jun Average, Niger, NER
49.3125, 2001, Jul Average, Niger, NER
61.3309, 2001, Aug Average, Niger, NER
24.6554, 2001, Sep Average, Niger, NER
0.48593, 2001, Oct Average, Niger, NER
0, 2001, Nov Average, Niger, NER
8.0E-5, 2001, Dec Average, Niger, NER
0.01006, 2002, Jan Average, Niger, NER
0.42191, 2002, Feb Average, Niger, NER
0.06135, 2002, Mar Average, Niger, NER
0.58249, 2002, Apr Average, Niger, NER
2.6517, 2002, May Average, Niger, NER
